ciudad,comunidad_autonoma
A Coruña,Galicia
Abrera,Cataluña
Adeje,Canarias
Adra,Andalucía
Aguadulce,Andalucía
Aguilar de Campoo,Castilla y León
Águilas,Región de Murcia
Alagón,Aragón
El Álamo,Comunidad de Madrid
Alaquàs,Comunidad Valenciana
Álava,País Vasco
Albacete,Castilla-La Mancha
Albatera,Comunidad Valenciana
Alberca Las Torres,Región de Murcia
L'Albi,Cataluña
Albolote,Andalucía
Alboraya,Comunidad Valenciana
Albox,Andalucía
Alcalá de Guadaíra,Andalucía
Alcalá de Henares,Comunidad de Madrid
Alcalá la Real,Andalucía
Alcantarilla,Región de Murcia
Alcañiz,Aragón
Alcázar de San Juan,Castilla-La Mancha
Los Alcázares,Región de Murcia
Alcobendas,Comunidad de Madrid
L'Alcora,Comunidad Valenciana
Alcorcón,Comunidad de Madrid
Alcoy,Comunidad Valenciana
Alcúdia,Islas Baleares
Aldaia,Comunidad Valenciana
Alella,Cataluña
Alfafar,Comunidad Valenciana
La Algaba,Andalucía
Algaida,Islas Baleares
Algeciras,Andalucía
Algemesí,Comunidad Valenciana
Algete,Comunidad de Madrid
Algorta,País Vasco
Alhama de Murcia,Región de Murcia
Alhaurín de la Torre,Andalucía
Alhaurín el Grande,Andalucía
Alicante,Comunidad Valenciana
Almansa,Castilla-La Mancha
Almàssera,Comunidad Valenciana
Almazora (Almassora),Comunidad Valenciana
Almenara,Comunidad Valenciana
Almendralejo,Extremadura
Almería,Andalucía
Almerimar,Andalucía
Almoradí,Comunidad Valenciana
Almuñécar,Andalucía
Almusafes,Comunidad Valenciana
Alpedrete,Comunidad de Madrid
Altafulla,Cataluña
Altea,Comunidad Valenciana
Alzira,Comunidad Valenciana
Amorebieta,País Vasco
Amposta,Cataluña
Andújar,Andalucía
Antas,Andalucía
Antequera,Andalucía
Aracena,Andalucía
Arahal,Andalucía
Aranda de Duero,Castilla y León
Aranjuez,Comunidad de Madrid
Aravaca,Comunidad de Madrid
Arbúcies,Cataluña
Archena,Región de Murcia
Arcos de la Frontera,Andalucía
Arenys de Mar,Cataluña
Arenys de Munt,Cataluña
Arganda del Rey,Comunidad de Madrid
Argentona,Cataluña
Arguineguín,Canarias
Arjona,Andalucía
Armilla,Andalucía
Arnedo,La Rioja
Arona,Canarias
Arrecife,Canarias
Arriondas,Asturias
Arroyo de la Encomienda,Castilla y León
Arroyo de la Miel,Andalucía
Arroyomolinos,Comunidad de Madrid
Artà,Islas Baleares
Arteijo,Galicia
Artes,Cataluña
Arucas,Canarias
Aspe,Comunidad Valenciana
Astorga,Castilla y León
Atarfe,Andalucía
Ávila,Castilla y León
Avilés,Asturias
Ayamonte,Andalucía
Ayora,Comunidad Valenciana
Azkoitia,País Vasco
Azuqueca de Henares,Castilla-La Mancha
Badajoz,Extremadura
Badalona,Cataluña
Badia del Vallès,Cataluña
Baena,Andalucía
Baiona,Galicia
Balaguer,Cataluña
Banyoles,Cataluña
Barakaldo,País Vasco
Barbastro,Aragón
Barbate,Andalucía
Barberà del Vallès,Cataluña
Barcelona,Cataluña
Barco de Ávila (El),Castilla y León
Basauri,País Vasco
Bàscara,Cataluña
Baza,Andalucía
Beas,Andalucía
Begues,Cataluña
Béjar,Castilla y León
Bellaterra,Cataluña
Bellpuig,Cataluña
Benajarafe,Andalucía
Benalmádena,Andalucía
Benavente,Castilla y León
Benetusser,Comunidad Valenciana
Benicarló,Comunidad Valenciana
Benicasim,Comunidad Valenciana
Benidorm,Comunidad Valenciana
Benifaió,Comunidad Valenciana
Benissa,Comunidad Valenciana
Berango,País Vasco
Berga,Cataluña
Betanzos,Galicia
Bétera,Comunidad Valenciana
Bilbao,País Vasco
Binéfar,Aragón
Binissalem,Islas Baleares
Blanes,Cataluña
Boadilla del Monte,Comunidad de Madrid
Bolaños de Calatrava,Castilla-La Mancha
Bollullos de la Mitación,Andalucía
Bormujos,Andalucía
Breña Alta,Canarias
Brunete,Comunidad de Madrid
Bueu,Galicia
Bullas,Región de Murcia
Buñol,Comunidad Valenciana
Burela,Galicia
Burgos,Castilla y León
Burjassot,Comunidad Valenciana
Burriana,Comunidad Valenciana
Cabanillas del Campo,Castilla-La Mancha
Cabezo de Torres,Región de Murcia
Cabra,Andalucía
Cáceres,Extremadura
Cádiz,Andalucía
Calaf,Cataluña
Calafell,Cataluña
Calahorra,La Rioja
Calatayud,Aragón
Caldes de Malavella,Cataluña
Caldes de Montbui,Cataluña
Calella,Cataluña
Callosa de Segura,Comunidad Valenciana
Calpe,Comunidad Valenciana
Camas,Andalucía
Cambre,Galicia
Cambrils,Cataluña
Campanillas,Andalucía
Campello,Comunidad Valenciana
Campos,Islas Baleares
Canals,Comunidad Valenciana
Candelaria,Canarias
Canet d'Adri,Cataluña
Canet de Mar,Cataluña
Cangas,Galicia
Capellades,Cataluña
Caravaca de la Cruz,Región de Murcia
Carballo,Galicia
Carcaixent,Comunidad Valenciana
Cardedeu,Cataluña
Carmona,Andalucía
Carrizal,Canarias
Cartagena,Región de Murcia
Cassa de la Selva,Cataluña
Castalla,Comunidad Valenciana
Castellar del Vallès,Cataluña
Castellbisbal,Cataluña
Castelldefels,Cataluña
Castellón de la Plana,Comunidad Valenciana
Castilleja de la Cuesta,Andalucía
Castrillón,Asturias
Castro-Urdiales,Cantabria
Castuera,Extremadura
Catarroja,Comunidad Valenciana
Catral,Comunidad Valenciana
Cazorla,Andalucía
Cee,Galicia
Cehegín,Región de Murcia
Celrà,Cataluña
Cercedilla,Comunidad de Madrid
Cerdanyola del Vallès,Cataluña
Cervelló,Cataluña
Cervera,Cataluña
Ceuta,Ciudad Autónoma de Ceuta
Chiclana de la Frontera,Andalucía
Chipiona,Andalucía
Churriana,Andalucía
Churriana de la Vega,Andalucía
Ciempozuelos,Comunidad de Madrid
Cieza,Región de Murcia
Ciudad Real,Castilla-La Mancha
Ciudad Santo Domingo,(Nota,No es una ciudad española; probablemente se refiere a Santo Domingo en la República Dominicana)
Ciutadella de Menorca,Islas Baleares
Coín,Andalucía
Collado Mediano,Comunidad de Madrid
Collado Villalba,Comunidad de Madrid
Colmenar Viejo,Comunidad de Madrid
Conil de la Frontera,Andalucía
Corbera de Llobregat,Cataluña
Córdoba,Andalucía
Coria,Extremadura
Coria del Río,Andalucía
Cornellà de Llobregat,Cataluña
Coslada,Comunidad de Madrid
Costa Teguise,Canarias
Crevillente,Comunidad Valenciana
Cuarte de Huerva,Aragón
Cubelles,Cataluña
Cuenca,Castilla-La Mancha
Cullera,Comunidad Valenciana
Cunit,Cataluña
Daganzo de Arriba,Comunidad de Madrid
Daimiel,Castilla-La Mancha
Denia,Comunidad Valenciana
Dolores,Comunidad Valenciana
Don Benito,Extremadura
Donostia-San Sebastián,País Vasco
Dos Hermanas,Andalucía
Dosrius,Cataluña
Durango,País Vasco
Ecija,Andalucía
Eibar,País Vasco
Ejea de los Caballeros,Aragón
El Albir,Comunidad Valenciana
El Arenal,Islas Baleares
El Casar,Comunidad de Madrid
El Ejido,Andalucía
El Espinar,Comunidad de Madrid
El Masnou,Cataluña
El Molar,Comunidad de Madrid
El Palmar,Comunidad Valenciana
El Prat de Llobregat,Cataluña
El Rosario,Canarias
El Vendrell,Cataluña
El Viso del Alcor,Andalucía
Elche,Comunidad Valenciana
Elda,Comunidad Valenciana
Elx,Comunidad Valenciana
Enguera,Comunidad Valenciana
Erandio,País Vasco
Esparreguera,Cataluña
Espartinas,Andalucía
Espejo,Andalucía
Esplugues de Llobregat,Cataluña
Estación de Cártama,Andalucía
Estepa,Andalucía
Estepona,Andalucía
Felanitx,Islas Baleares
Fene,Galicia
Fernán Núñez,Andalucía
Ferrol,Galicia
Figueres,Cataluña
Foios,Comunidad Valenciana
Formentera del Segura,Comunidad Valenciana
Fraga,Aragón
Fuengirola,Andalucía
Fuenlabrada,Comunidad de Madrid
Fuensalida,Castilla-La Mancha
Galapagar,Comunidad de Madrid
Galdakao,País Vasco
Gáldar,Canarias
Gandía,Comunidad Valenciana
Garrucha,Andalucía
Gavà,Cataluña
Gernika-Lumo,País Vasco
Getafe,Comunidad de Madrid
Getxo,País Vasco
Gijón,Asturias
Gines,Andalucía
Girona,Cataluña
Gójar,Andalucía
Gondomar,Galicia
Gozón,Asturias
Granada,Andalucía
Granollers,Cataluña
Griñón,Comunidad de Madrid
Guadalajara,Castilla-La Mancha
Guadarrama,Comunidad de Madrid
Guadix,Andalucía
Guardamar del Segura,Comunidad Valenciana
Hellín,Castilla-La Mancha
Huelva,Andalucía
Huércal de Almería,Andalucía
Huércal-Overa,Andalucía
Huesca,Aragón
Ibi,Comunidad Valenciana
Ibiza,Islas Baleares
Icod de los Vinos,Canarias
Igorre,País Vasco
Igualada,Cataluña
Illescas,Castilla-La Mancha
Inca,Islas Baleares
Irún,País Vasco
Isla Cristina,Andalucía
Jaca,Aragón
Jaén,Andalucía
Jávea,Comunidad Valenciana
Jerez de la Frontera,Andalucía
Jijona,Comunidad Valenciana
Jumilla,Región de Murcia
L'Ametlla del Vallès,Cataluña
L'Eliana,Comunidad Valenciana
L'Escala,Cataluña
