'terminos de busqueda','numero de paginas de resultados'
'a-coruna','10'
'abrera','1'
'adeje','1'
'adra','1'
'aguadulce','1'
'aguilar-de-campoo','1'
'aguilas','1'
'alagon','1'
'alamo-el','2'
'alaquas','1'
'alava','6'
'albacete','6'
'albatera','1'
'alberca-las-torres','3'
'albi-l','1'
'albolote','4'
'alboraya','1'
'albox','1'
'alcala-de-guadaira','2'
'alcala-de-henares','9'
'alcala-la-real','1'
'alcantarilla','1'
'alcaniz','1'
'alcazar-de-san-juan','1'
'alcazares-los','1'
'alcobendas','6'
'alcora','1'
'alcorcon','7'
'alcoy','2'
'alcudia','1'
'aldaia','1'
'alella','6'
'alfafar','2'
'algaba-la','2'
'algaida','1'
'algeciras','4'
'algemesi','1'
'algete','1'
'algorta','3'
'alhama-de-murcia','1'
'alhaurin-de-la-torre','3'
'alhaurin-el-grande','2'
'alicante','19'
'almansa','1'
'almassera','11'
'almazora','7'
'almenara','4'
'almendralejo','1'
'almeria','12'
'almerimar','2'
'almoradi','1'
'almunecar','2'
'almusafes','1'
'alpedrete','5'
'altafulla','1'
'altea','1'
'alzira','2'
'amorebieta','1'
'amposta','3'
'andujar','1'
'antas','1'
'antequera','2'
'aracena','1'
'arahal-el','1'
'aranda-de-duero','1'
'aranjuez','3'
'aravaca','5'
'arbucies','1'
'archena','1'
'arcos-de-la-frontera','1'
'arenys-de-mar','1'
'arenys-de-munt','1'
'arganda-del-rey','2'
'argentona','10'
'arguineguin','1'
'arjona','1'
'armilla','1'
'arnedo','1'
'arona','2'
'arrecife','2'
'arriondas','1'
'arroyo-de-la-encomienda','7'
'arroyo-de-la-miel','3'
'arroyomolinos','1'
'arta','1'
'arteixo','1'
'artes','7'
'arucas','2'
'aspe','2'
'astorga','1'
'atarfe','19'
'avila','1'
'aviles','3'
'ayamonte','1'
'ayora','1'
'azkoitia','1'
'azuqueca-de-henares','2'
'badajoz','8'
'badalona','8'
'badia-del-valles','1'
'baena','1'
'baiona','2'
'balaguer','1'
'banyoles','2'
'barakaldo','2'
'barbastro','1'
'barbate','1'
'barbera-del-valles','2'
'barcelona','122'
'barco-o','1'
'basauri','21'
'bascara','1'
'baza','1'
'beas','4'
'begues','10'
'bejar','1'
'bellaterra','14'
'bellpuig','2'
'benajarafe','4'
'benalmadena','4'
'benavente','1'
'benetusser','1'
'benicarlo','2'
'benicasim','1'
'benidorm','3'
'benifaio','1'
'benissa','2'
'berango','1'
'berga','2'
'betanzos','1'
'betera','3'
'bilbao','19'
'binefar','1'
'binissalem','1'
'blanes','2'
