ciudad,comunidad_autonoma
A Coruña,Galicia
Abrera,Cataluña
Alella,Cataluña
Albi (L'),Cataluña
Albolote,Cataluña
Alboraya,Cataluña
Altafulla,Cataluña
Amposta,Cataluña
Arenys de Mar,Cataluña
Arenys de Munt,Cataluña
Argentona,Cataluña
Badalona,Cataluña
Badia del Vallès,Cataluña
Banyoles,Cataluña
Barcelona,Cataluña
Bellaterra,Cataluña
Adeje,Canarias
Arona,Canarias
Candelaria,Canarias
Granadilla de Abona,Canarias
Guía de Isora,Canarias
La Laguna,Canarias
Las Palmas de Gran Canaria,Canarias
Puerto del Rosario,Canarias
San Bartolomé de Tirajana,Canarias
Santa Cruz de Tenerife,Canarias
Tacoronte,Canarias
Tegueste,Canarias
Adra,Andalucía
Aguadulce,Andalucía
Albox,Andalucía
Alcala de Guadaira,Andalucía
Alcalá La Real,Andalucía
Almería,Andalucía
Arcos de la Frontera,Andalucía
Ayamonte,Andalucía
Baza,Andalucía
Benalmádena,Andalucía
Cádiz,Andalucía
Córdoba,Andalucía
Dos Hermanas,Andalucía
El Ejido,Andalucía
Fuengirola,Andalucía
Granada,Andalucía
Huelva,Andalucía
Jaén,Andalucía
Jerez de la Frontera,Andalucía
La Línea de la Concepción,Andalucía
Málaga,Andalucía
Marbella,Andalucía
Rincón de la Victoria,Andalucía
Roquetas de Mar,Andalucía
San Fernando,Andalucía
Sanlúcar de Barrameda,Andalucía
Sevilla,Andalucía
Torremolinos,Andalucía
Utrera,Andalucía
