"Comunidades y Ciudades Autónomas";"Total";"Total Psicólogos"
"Andalucía";8584147;7675
"Aragón";1341289;105
"Principado de Asturias";1006060;1377
"Canarias";2213016;267
"Cantabria";588387;33
"Castilla y León";2383703;125
"Castilla-La Mancha";2084086;171
"Cataluña";7901963;10253
"Ceuta";83052;3
"Melilla";85493;5
"Comunidad de Madrid";6871903;12892
"Comunitat Valenciana";5216195;515
"Desconocida";0;7322
"Extremadura";1054306;1406
"Galicia";2699424;173
"Illes Balears";1209906;119
"La Rioja";322282;13
"Comunidad Foral de Navarra";672155;21
"País Vasco";2216302;166
"Región de Murcia";1551692;166
