"edad";"rango_precio";"com_aut"
"20 - 29 años";"25€ - 50€";"Comunidad de Madrid"
"20 - 29 años";"25€ - 50€";"Comunidad de Madrid"
"20 - 29 años";"25€ - 50€";"Comunidad de Madrid"
"50 - 59 años";"Menos de 25€";"Comunidad de Madrid"
"50 - 59 años";"Menos de 25€";"Comunidad de Madrid"
"20 - 29 años";"Menos de 25€";"Comunidad de Madrid"
"Mayor de 60 años";"Menos de 25€";"Comunidad de Madrid"
"20 - 29 años";"Más de 50€";"Comunidad de Madrid"
"Mayor de 60 años";"Menos de 25€";"Comunidad de Madrid"
"20 - 29 años";"25€ - 50€";"Comunidad de Madrid"
"50 - 59 años";"25€ - 50€";"Comunidad de Madrid"
"50 - 59 años";"25€ - 50€";"Comunidad de Madrid"
"Mayor de 60 años";"25€ - 50€";"Comunidad de Madrid"
"20 - 29 años";"Más de 50€";"Comunidad de Madrid"
"Mayor de 60 años";"25€ - 50€";"Comunidad de Madrid"
"20 - 29 años";"25€ - 50€";"Comunidad de Madrid"
"30 - 39 años";"25€ - 50€";"Comunidad de Madrid"
"40 - 49 años";"Otro";"Comunidad de Madrid"
"30 - 39 años";"25€ - 50€";"Comunidad de Madrid"
"30 - 39 años";"25€ - 50€";"Comunidad de Madrid"
"20 - 29 años";"25€ - 50€";"Comunidad de Madrid"
"20 - 29 años";"25€ - 50€";"Comunidad de Madrid"
"30 - 39 años";"25€ - 50€";"Comunidad de Madrid"
"30 - 39 años";"25€ - 50€";"Comunidad de Madrid"
"20 - 29 años";"Más de 50€";"Comunidad de Madrid"
"30 - 39 años";"Menos de 25€";"Comunidad de Madrid"
"20 - 29 años";"Otro";"Comunidad de Madrid"
"20 - 29 años";"25€ - 50€";"Comunidad de Madrid"
"30 - 39 años";"Menos de 25€";"Comunidad de Madrid"
"30 - 39 años";"25€ - 50€";"Comunidad de Madrid"
"20 - 29 años";"25€ - 50€";"Comunidad de Madrid"
"20 - 29 años";"25€ - 50€";"Comunidad de Madrid"
"30 - 39 años";"Menos de 25€";"Comunidad de Madrid"
"40 - 49 años";"25€ - 50€";"Comunidad de Madrid"
"20 - 29 años";"Menos de 25€";"Comunidad de Madrid"
