"ccaa";"total";"hombres";"mujeres";"poblacion"
"Andalucía";5.633;1.107;4.526;8584147
"Aragón";881;143;738;1341289
"Principado de Asturias";1.021;172;849;1006060
"Illes Balears";1.020;192;828;1209906
"Canarias";2.062;425;1.637;2213016
"Cantabria";421;74;347;588387
"Castilla y León";936;208;728;2383703
"Castilla-La Mancha";612;97;515;2084086
"Cataluña";4.454;736;3.718;7901963
"Comunitat Valenciana";2.931;541;2.390;5216195
"Extremadura";768;142;626;1054306
"Galicia";1.778;311;1.467;2699424
"Comunidad de Madrid";12.652;2.296;10.356;6871903
"Región de  Murcia";1.518;284;1.234;1551692
"Comunidad Foral de Navarra";547;75;472;672155
"País Vasco";2.279;365;1.914;2216302
"La Rioja";318;48;270;322282
"Ceuta";36;9;27;83052
"Melilla";109;30;79;85493
