"Com_autonoma";"Año";"Suma de Importe €";"sexo"
"Andalucía";2008;"20138.56";"Ambos sexos"
"Andalucía";2008;"22108.57";"Hombres"
"Andalucía";2008;"17298.33";"Mujeres"
"Andalucía";2009;"20906.33";"Ambos sexos"
"Andalucía";2009;"22908.86";"Hombres"
"Andalucía";2009;"18371.23";"Mujeres"
"Andalucía";2010;"20964.36";"Ambos sexos"
"Andalucía";2010;"23463.96";"Hombres"
"Andalucía";2010;"17921.33";"Mujeres"
"Andalucía";2011;"21350.98";"Ambos sexos"
"Andalucía";2011;"23815.22";"Hombres"
"Andalucía";2011;"18389.21";"Mujeres"
"Andalucía";2012;"20891.63";"Ambos sexos"
"Andalucía";2012;"23592.08";"Hombres"
"Andalucía";2012;"17828.44";"Mujeres"
"Andalucía";2013;"20782.03";"Ambos sexos"
"Andalucía";2013;"23565.36";"Hombres"
"Andalucía";2013;"17690.19";"Mujeres"
"Andalucía";2014;"20840.3";"Ambos sexos"
"Andalucía";2014;"23541.32";"Hombres"
"Andalucía";2014;"17576.13";"Mujeres"
"Andalucía";2015;"21381.03";"Ambos sexos"
"Andalucía";2015;"24200.2";"Hombres"
"Andalucía";2015;"18340.96";"Mujeres"
"Andalucía";2016;"21268.41";"Ambos sexos"
"Andalucía";2016;"24026.82";"Hombres"
"Andalucía";2016;"18177.37";"Mujeres"
"Andalucía";2017;"21404.28";"Ambos sexos"
"Andalucía";2017;"24175.52";"Hombres"
"Andalucía";2017;"18287.29";"Mujeres"
"Andalucía";2018;"21805.92";"Ambos sexos"
"Andalucía";2018;"24712.69";"Hombres"
"Andalucía";2018;"18672.11";"Mujeres"
"Andalucía";2019;"22060.99";"Ambos sexos"
"Andalucía";2019;"24527.67";"Hombres"
"Andalucía";2019;"19391.52";"Mujeres"
"Andalucía";2020;"22323.85";"Ambos sexos"
"Andalucía";2020;"24785.82";"Hombres"
"Andalucía";2020;"19517.52";"Mujeres"
"Andalucía";2021;"23154.99";"Ambos sexos"
"Andalucía";2021;"25464.78";"Hombres"
"Andalucía";2021;"20427.8";"Mujeres"
"Andalucía";2022;"24094.32";"Ambos sexos"
"Andalucía";2022;"26189.5";"Hombres"
"Andalucía";2022;"21729.48";"Mujeres"
"Aragón";2008;"21594.47";"Ambos sexos"
"Aragón";2008;"24272.36";"Hombres"
"Aragón";2008;"17843.46";"Mujeres"
"Aragón";2009;"22133.77";"Ambos sexos"
"Aragón";2009;"24787.81";"Hombres"
"Aragón";2009;"18861.82";"Mujeres"
"Aragón";2010;"22316.69";"Ambos sexos"
"Aragón";2010;"25263.29";"Hombres"
"Aragón";2010;"18843.25";"Mujeres"
"Aragón";2011;"22333.53";"Ambos sexos"
"Aragón";2011;"25258.68";"Hombres"
"Aragón";2011;"18831.38";"Mujeres"
"Aragón";2012;"22103.79";"Ambos sexos"
"Aragón";2012;"25766.27";"Hombres"
"Aragón";2012;"18042.28";"Mujeres"
"Aragón";2013;"22054.85";"Ambos sexos"
"Aragón";2013;"25128.91";"Hombres"
"Aragón";2013;"18701.61";"Mujeres"
"Aragón";2014;"22095.79";"Ambos sexos"
"Aragón";2014;"25118.61";"Hombres"
"Aragón";2014;"18764.63";"Mujeres"
"Aragón";2015;"22327.18";"Ambos sexos"
"Aragón";2015;"25555.56";"Hombres"
"Aragón";2015;"18950.17";"Mujeres"
"Aragón";2016;"22248.76";"Ambos sexos"
"Aragón";2016;"25326.91";"Hombres"
"Aragón";2016;"18766.21";"Mujeres"
"Aragón";2017;"23039.94";"Ambos sexos"
"Aragón";2017;"25878.46";"Hombres"
"Aragón";2017;"19677.22";"Mujeres"
"Aragón";2018;"23531.83";"Ambos sexos"
"Aragón";2018;"26640.59";"Hombres"
"Aragón";2018;"20074.25";"Mujeres"
"Aragón";2019;"23565.09";"Ambos sexos"
"Aragón";2019;"26404.73";"Hombres"
"Aragón";2019;"20360.25";"Mujeres"
"Aragón";2020;"24113.57";"Ambos sexos"
"Aragón";2020;"26505.7";"Hombres"
"Aragón";2020;"21365.11";"Mujeres"
"Aragón";2021;"25011.55";"Ambos sexos"
"Aragón";2021;"27389.18";"Hombres"
"Aragón";2021;"22283.81";"Mujeres"
"Aragón";2022;"26012.71";"Ambos sexos"
"Aragón";2022;"28789.96";"Hombres"
"Aragón";2022;"23138.72";"Mujeres"
"Principado de Asturias";2008;"21805.67";"Ambos sexos"
"Principado de Asturias";2008;"24306.27";"Hombres"
"Principado de Asturias";2008;"18452.09";"Mujeres"
"Principado de Asturias";2009;"22597.97";"Ambos sexos"
"Principado de Asturias";2009;"25175.71";"Hombres"
"Principado de Asturias";2009;"19289.76";"Mujeres"
"Principado de Asturias";2010;"22241.39";"Ambos sexos"
"Principado de Asturias";2010;"25170.79";"Hombres"
"Principado de Asturias";2010;"18786.13";"Mujeres"
"Principado de Asturias";2011;"22286.48";"Ambos sexos"
"Principado de Asturias";2011;"25346.39";"Hombres"
"Principado de Asturias";2011;"18721.59";"Mujeres"
"Principado de Asturias";2012;"21750.66";"Ambos sexos"
"Principado de Asturias";2012;"25048.82";"Hombres"
"Principado de Asturias";2012;"18026.01";"Mujeres"
"Principado de Asturias";2013;"21994.99";"Ambos sexos"
"Principado de Asturias";2013;"25500.04";"Hombres"
"Principado de Asturias";2013;"18455.34";"Mujeres"
"Principado de Asturias";2014;"22045.29";"Ambos sexos"
"Principado de Asturias";2014;"25322.01";"Hombres"
"Principado de Asturias";2014;"18400.68";"Mujeres"
"Principado de Asturias";2015;"22826.06";"Ambos sexos"
"Principado de Asturias";2015;"26514.68";"Hombres"
"Principado de Asturias";2015;"18925.34";"Mujeres"
"Principado de Asturias";2016;"23095.83";"Ambos sexos"
"Principado de Asturias";2016;"27010.87";"Hombres"
"Principado de Asturias";2016;"19077.92";"Mujeres"
"Principado de Asturias";2017;"23609.67";"Ambos sexos"
"Principado de Asturias";2017;27849;"Hombres"
"Principado de Asturias";2017;"19426.48";"Mujeres"
"Principado de Asturias";2018;"23914.61";"Ambos sexos"
"Principado de Asturias";2018;"27912.91";"Hombres"
"Principado de Asturias";2018;"19744.94";"Mujeres"
"Principado de Asturias";2019;"24865.89";"Ambos sexos"
"Principado de Asturias";2019;"28481.75";"Hombres"
"Principado de Asturias";2019;"21298.58";"Mujeres"
"Principado de Asturias";2020;"24527.96";"Ambos sexos"
"Principado de Asturias";2020;"27948.09";"Hombres"
"Principado de Asturias";2020;"21308.01";"Mujeres"
"Principado de Asturias";2021;"25046.6";"Ambos sexos"
"Principado de Asturias";2021;"28399.51";"Hombres"
"Principado de Asturias";2021;"21808.96";"Mujeres"
"Principado de Asturias";2022;"26745.93";"Ambos sexos"
"Principado de Asturias";2022;"29573.74";"Hombres"
"Principado de Asturias";2022;"23792.42";"Mujeres"
"Canarias";2008;"18466.99";"Ambos sexos"
"Canarias";2008;"19516.93";"Hombres"
"Canarias";2008;"17131.85";"Mujeres"
"Canarias";2009;"18926.36";"Ambos sexos"
"Canarias";2009;"20109.24";"Hombres"
"Canarias";2009;"17528.33";"Mujeres"
"Canarias";2010;"19315.56";"Ambos sexos"
"Canarias";2010;"20986.94";"Hombres"
"Canarias";2010;"17601.79";"Mujeres"
"Canarias";2011;"19516.96";"Ambos sexos"
"Canarias";2011;"21090.86";"Hombres"
"Canarias";2011;"17824.94";"Mujeres"
"Canarias";2012;"19277.62";"Ambos sexos"
"Canarias";2012;"21089.85";"Hombres"
"Canarias";2012;"17498.71";"Mujeres"
"Canarias";2013;"19167.93";"Ambos sexos"
"Canarias";2013;"20678.43";"Hombres"
"Canarias";2013;"17619.86";"Mujeres"
"Canarias";2014;"19436.48";"Ambos sexos"
"Canarias";2014;"20641.49";"Hombres"
"Canarias";2014;"18201.48";"Mujeres"
"Canarias";2015;"19856.61";"Ambos sexos"
"Canarias";2015;"21336.72";"Hombres"
"Canarias";2015;"18279.76";"Mujeres"
"Canarias";2016;"19749.03";"Ambos sexos"
"Canarias";2016;"21149.44";"Hombres"
"Canarias";2016;"18211.44";"Mujeres"
"Canarias";2017;"20185.33";"Ambos sexos"
"Canarias";2017;"21291.66";"Hombres"
"Canarias";2017;"18917.73";"Mujeres"
"Canarias";2018;"20763.48";"Ambos sexos"
"Canarias";2018;"22333.63";"Hombres"
"Canarias";2018;"19051.01";"Mujeres"
"Canarias";2019;"20861.14";"Ambos sexos"
"Canarias";2019;"22082.69";"Hombres"
"Canarias";2019;"19540.82";"Mujeres"
"Canarias";2020;"21631.17";"Ambos sexos"
"Canarias";2020;"22697.51";"Hombres"
"Canarias";2020;"20461.63";"Mujeres"
"Canarias";2021;"22466.23";"Ambos sexos"
"Canarias";2021;"23619.76";"Hombres"
"Canarias";2021;"21178.57";"Mujeres"
"Canarias";2022;"23096.92";"Ambos sexos"
"Canarias";2022;"23588.7";"Hombres"
"Canarias";2022;"22574.98";"Mujeres"
"Cantabria";2008;"20377.68";"Ambos sexos"
"Cantabria";2008;"22539.72";"Hombres"
"Cantabria";2008;"17460.14";"Mujeres"
"Cantabria";2009;"20869.86";"Ambos sexos"
"Cantabria";2009;22933;"Hombres"
"Cantabria";2009;"18210.65";"Mujeres"
"Cantabria";2010;"21156.79";"Ambos sexos"
"Cantabria";2010;"23924.51";"Hombres"
"Cantabria";2010;"17887.59";"Mujeres"
"Cantabria";2011;"20931.68";"Ambos sexos"
"Cantabria";2011;"23793.64";"Hombres"
"Cantabria";2011;"17606.84";"Mujeres"
"Cantabria";2012;"20191.51";"Ambos sexos"
"Cantabria";2012;"23309.9";"Hombres"
"Cantabria";2012;"16771.99";"Mujeres"
"Cantabria";2013;"20052.12";"Ambos sexos"
"Cantabria";2013;"23224.6";"Hombres"
"Cantabria";2013;"16542.34";"Mujeres"
"Cantabria";2014;"21199.83";"Ambos sexos"
"Cantabria";2014;"24685.21";"Hombres"
"Cantabria";2014;"17668.55";"Mujeres"
"Cantabria";2015;"21856.81";"Ambos sexos"
"Cantabria";2015;"25259.83";"Hombres"
"Cantabria";2015;"17955.79";"Mujeres"
"Cantabria";2016;"22063.02";"Ambos sexos"
"Cantabria";2016;"25210.05";"Hombres"
"Cantabria";2016;"18216.84";"Mujeres"
"Cantabria";2017;"22390.4";"Ambos sexos"
"Cantabria";2017;"25249.94";"Hombres"
"Cantabria";2017;"19012.2";"Mujeres"
